,,,,,,,,,,,,
,Genotype ,Replication ,AVB,BW,NOB,BD,BL,TSS,Acidity,Compactness ,BunLength,Bunwidth 
,,R3,336.63,159.20,127.00,16.70,15.00,18.00,0.44,9.46,15.83,12.40
,Katta Kurghan,R1,294.70,110.60,82.50,22.00,16.50,22.40,0.82,6.03,6.70,10.50
,,R2,299.78,117.00,83.00,21.00,15.00,20.00,0.76,7.01,9.10,11.30
,,R3,320.30,120.80,84.00,23.33,14.13,21.30,0.62,6.75,10.70,10.90
,E29/3 (BC XTS),R1,223.10,106.40,130.50,12.00,13.50,22.90,0.70,6.87,18.70,12.70
,,R2,234.50,110.80,141.11,12.50,16.00,21.35,0.61,6.23,16.50,13.30
,,R3,242.50,115.50,150.80,14.40,17.10,20.80,0.53,6.79,17.00,14.20
,Beauty Seedless,R1,389.70,41.30,77.80,14.50,17.50,19.55,0.61,7.50,15.90,7..8
,,R2,399.70,47.00,78.80,11.00,14.00,20.50,0.56,7.14,16.50,8.90
,,R3,410.00,60.70,80.40,11.30,16.60,21.00,0.48,7.78,15.30,9.70
,Arka Soma,R1,311.21,160.35,62.00,17.00,17.50,19.80,0.66,3.39,14.70,3.80
,,R2,320.95,174.50,60.80,18.00,14.00,20.02,0.58,3.12,13.90,4.10
,,R3,347.80,184.83,59.00,18.80,11.60,20.20,0.60,3.82,13.30,5.30
,Athens,R1,502.30,130.80,50.90,13.50,18.00,17.80,0.71,5.83,10.80,7.30
,,R2,526.70,136.05,59.70,16.50,18.50,21.60,0.54,5.34,12.40,8.10
,,R3,536.17,137.83,53.00,16.70,21.30,20.80,0.63,5.46,11.30,9.20
,Hussain Black Kabuli1,R1,78.51,179.20,30.80,13.50,21.50,19.80,0.78,3.26,13.80,3.70
,,R2,84.94,185.33,27.04,15.00,21.50,20.02,0.69,3.45,14.80,4.10
,,R3,96.70,189.07,27.67,13.50,20.70,20.20,0.86,3.98,13.90,4.90
,Pusa Navrang,R1,243.60,52.50,80.40,11.00,16.00,20.20,0.65,6.14,12.40,5.80
,,R2,251.30,55.00,77.25,13.50,16.00,21.00,0.72,6.01,11.60,6.70
,,R3,262.83,61.50,70.60,13.00,14.67,22.30,0.58,6.89,10.40,7.20
,Jahfari (labrusca),R1,72.10,95.55,35.40,15.50,14.00,17.30,0.38,5.98,7.60,5.40
,,R2,83.89,93.98,27.30,15.50,16.50,16.10,0.54,5.13,9.10,6.50
,,R3,91.35,98.50,30.67,16.40,13.00,18.67,0.79,5.46,6.90,4.70
,Italia,R1,254.00,160.70,60.80,17.80,19.00,18.40,0.87,4.82,15.20,7.00
,,R2,286.88,163.40,63.00,19.00,17.50,18.10,0.69,4.13,18.30,7.87
,,R3,297.60,171.87,65.67,20.00,19.80,18.73,0.77,4.65,15.27,8.70
,Leh 12,R1,280.10,167.80,120.80,15.00,18.00,19.60,0.86,2.59,17.40,10.40
,,R2,295.40,177.16,128.75,15.00,18.00,18.10,0.72,2.68,20.40,11.40
,,R3,302.90,181.87,126.33,16.80,14.80,17.93,0.83,2.79,21.30,12.30
,Blush Seedless,R1,387.60,122.05,92.40,17.00,19.50,18.60,0.67,8.98,18.50,7.80
,,R2,398.70,116.00,94.00,16.00,20.00,16.00,0.53,8.69,17.80,8.30
,,R3,432.50,130.80,97.17,18.80,21.40,19.00,0.49,8.24,16.40,9.20
