,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Genotypes,Replication,PruningBiomass,TimeofBudbrust,Timeoffullbloom,Time of verasion,ABW,BW,NOB,BD,BL,TSS,Acidity,Compaactness,Skinfirmness,Bunlen,Bunwidth,pedunclelength,Physiologicalmaturity,Seed weight ,NOS
,E4/15 IIHR Hybrid,R1,1.455,8,35,106,345.60,165.40,78.60,20.50,20.90,19.30,0.69,4.14,67.80,9.40,11.60,27.80,125.00,4.57,2.0
,,R2,1.32,9,33,104,358.90,171.60,70.72,20.50,22.00,16.30,0.72,4.45,61.40,7.40,12.10,25.80,121.00,4.13,2.0
,,R3,1.238,10,32,108,370.41,174.50,73.33,22.20,17.50,17.00,0.83,4.87,68.90,6.90,12.90,26.10,118.00,4.95,2.0
,Manjari Medika,R1,0.567,12,28,102,342.10,99.30,110.70,15.00,16.50,17.10,0.43,6.94,56.70,17.80,10.30,23.40,123.00,0.00,2.0
,,R2,0.531,11,29,105,367.10,116.17,107.00,15.00,15.50,19.70,0.58,6.75,63.50,15.80,11.00,20.80,120.00,0.00,1.0
,,R3,0.521,10,30,107,358.90,123.05,115.00,15.60,17.60,20.00,0.53,6.13,65.70,16.00,12.40,21.60,117.00,0.00,1.0
,Beauty Seedless,R1,0.516,8,41,90,389.70,41.30,77.80,14.50,17.50,19.55,0.61,7.50,71.23,15.90,7..8,30.00,120.00,0.00,1.0
,,R2,0.478,8,37,88,399.70,47.00,78.80,11.00,14.00,20.50,0.56,7.14,67.80,16.50,8.90,28.90,117.00,0.00,2.0
,,R3,0.492,9,34,95,410.00,60.70,80.40,11.30,11.60,21.00,0.48,7.78,63.20,15.30,9.70,27.30,122.00,0.00,1.0
,Arka Soma,R1,0.458,9,37,110,511.21,160.35,62.00,17.00,18.00,19.80,0.66,3.39,56.70,14.70,3.80,26.00,135.00,5.67,2.0
,,R2,0.412,9,35,104,520.95,174.50,60.80,18.00,18.50,20.02,0.58,3.12,51.40,13.90,4.10,24.70,131.00,5.12,2.0
,,R3,0.398,8,33,102,547.83,184.83,59.00,18.80,21.30,20.20,0.60,3.82,53.80,13.30,5.30,25.10,128.00,5.01,2.0
,Arka Shyam,R1,1.109,9,32,104,211.40,90.45,63.50,13.50,15.00,20.80,0.46,4.05,71.23,16.90,6.30,27.00,126.00,6.83,2.0
,,R2,1.021,10,29,100,245.30,85.49,82.40,13.50,15.00,21.60,0.66,5.12,68.90,18.10,7.10,26.10,123.00,6.12,2.0
,,R3,0.978,11,27,98,223.20,83.20,75.60,15.10,15.10,20.40,0.52,4.87,63.20,16.10,5.80,25.80,121.00,5.92,1.0
,Athens,R1,0.766,14,38,106,345.60,130.80,50.90,13.50,21.50,20.80,0.71,5.83,40.20,10.80,7.30,24.00,126.00,5.78,2.0
,,R2,0.745,13,36,103,367.30,136.05,59.70,16.50,21.50,21.60,0.54,5.34,36.70,12.40,8.10,23.10,121.00,5.12,2.0
,,R3,0.723,10,34,100,355.10,137.83,53.00,16.70,18.70,20.80,0.63,5.46,32.10,11.30,9.20,22.80,119.00,5.93,1.0
,Trebbiano,R1,0.436,16,41,100,389.10,65.40,158.00,9.50,12.50,19.80,0.48,3.97,52.30,14.90,6.80,17.00,128.00,7.86,2.0
,,R2,0.41,13,37,98,394.50,70.90,163.80,14.00,14.50,18.70,0.51,3.24,46.70,16.70,7.40,14.50,125.00,6.56,2.0
,,R3,0.378,11,38,95,375.40,76.80,165.00,14.70,15.50,16.63,0.57,3.54,41.00,15.60,8.30,16.80,121.00,5.23,1.0
,Gaeganega,R1,0.503,15,38,104,452.10,75.60,85.40,13.00,15.00,17.15,0.69,7.52,63.40,13.90,4.80,22.50,126.00,5.01,2.0
,,R2,0.527,12,35,100,461.30,79.04,100.88,16.00,16.50,16.00,0.73,7.26,56.80,15.60,5.00,21.90,128.00,4.78,2.0
,,R3,0.489,13,32,105,472.50,83.47,89.00,14.50,15.00,18.70,0.60,7.13,42.40,14.00,5.90,20.80,130.00,4.56,2.0
,Catawba,R1,0.954,12,38,104,75.40,90.90,56.20,14.00,15.80,23.50,0.69,5.14,59.30,10.50,5.30,20.30,126.00,6.89,2.0
,,R2,0.912,10,36,107,82.67,109.80,58.00,13.00,14.00,24.00,0.76,5.34,51.30,8.40,5.77,19.50,123.00,6.21,2.0
,,R3,0.945,9,33,101,87.62,116.00,59.33,14.00,14.00,21.00,0.67,5.67,48.90,9.63,6.30,17.90,126.00,5.95,3.0
,Charark-2,R1,0.818,9,37,100,231.40,87.90,90.50,14.50,15.50,22.60,0.96,4.53,41.40,16.00,9.00,18.00,130.00,6.71,3.0
